	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
LIN54	54	34	38	43	55
COPS4	99	95	115	108	120
PLAC8	4	0	5	4	7
COQ2	11	19	4	4	9
HPSE	33	26	10	28	20
HELQ	30	19	24	18	20
MRPS18C	81	53	17	41	38
FAM175A	16	15	8	13	10
AGPAT9	4	4	8	7	10
CDS1	232	191	169	217	227
WDFY3	150	115	125	140	69
WDFY3-AS2	0	8	3	2	7
ARHGAP24	6	12	10	17	4
MAPK10	12	11	9	11	12
PTPN13	415	395	488	352	557
SLC10A6	6	5	2	0	11
C4orf36	0	0	0	0	1
LOC100506746	1	7	3	4	3
AFF1	199	120	126	159	159
KLHL8	106	98	67	124	92
HSD17B13	0	1	0	0	1
HSD17B11	14	16	24	26	19
NUDT9	87	60	55	75	59
SPARCL1	1	1	0	0	1
SPP1	1	0	0	0	0
PKD2	206	162	129	220	190
ABCG2	17	8	10	12	24
PPM1K	31	17	38	58	47
HERC6	22	15	13	15	74
HERC5	3	2	6	8	28
LOC101929134	1	0	0	0	2
HERC3	73	65	45	70	162
FAM13A-AS1	1	0	0	0	0
FAM13A	6	7	5	5	9
TIGD2	25	26	28	31	6
SNCA	347	336	405	633	154
RP11-67M1.1	0	0	0	0	0
CCSER1	0	0	0	1	1
SMARCAD1	166	152	143	170	108
HPGDS	0	0	1	1	0
PDLIM5	756	773	631	912	459
RP11-168E14.1	0	0	0	0	3
BMPR1B	20	25	18	26	7
UNC5C	8	6	2	1	1
STPG2	0	2	0	1	0
RAP1GDS1	384	320	289	338	197
TSPAN5	492	365	219	406	65
EIF4E	544	555	613	721	489
METAP1	260	271	231	322	261
ADH5	924	722	736	942	757
RP11-696N14.1	9	2	12	5	3
ADH7	0	0	0	3	0
TRMT10A	33	24	28	43	28
MTTP	1	1	2	1	1
DAPP1	194	144	148	148	115
LAMTOR3	212	196	205	270	245
DNAJB14	289	207	176	241	236
H2AFZ	1606	1711	1251	1901	1459
DDIT4L	2	1	1	2	0
PPP3CA	1093	973	923	1144	524
FLJ20021	1	3	1	2	4
BANK1	2	4	7	1	1
SLC39A8	8	6	7	11	2
NFKB1	362	316	214	340	308
MANBA	42	35	42	37	63
LOC102723704	0	0	1	0	0
UBE2D3	72	62	29	53	38
CISD2	26	14	17	17	4
SLC9B1	1	0	2	0	0
SLC9B2	13	16	6	12	5
BDH2	111	119	106	116	131
CENPE	273	271	306	219	235
CXXC4	2	1	3	1	0
LOC101929491	1	3	2	2	0
TET2	105	93	82	95	87
PPA2	352	209	299	255	405
INTS12	30	19	27	17	35
GSTCD	8	5	4	4	4
NPNT	8	23	22	35	28
RP11-710F7.3	2	0	1	0	2
TBCK	29	24	40	72	49
AIMP1	169	159	139	155	155
DKK2	19	19	8	6	0
PAPSS1	544	432	478	661	456
LOC102724049	0	0	0	0	0
SGMS2	262	206	156	182	136
CYP2U1	28	8	25	30	7
HADH	183	148	176	356	158
LEF1	2	1	2	2	2
RPL34-AS1	0	0	0	0	0
RPL34	1994	1512	1424	1546	1843
OSTC	626	551	481	427	308
SEC24B-AS1	2	1	1	8	2
SEC24B	142	95	118	109	139
CCDC109B	129	97	97	110	144
CASP6	115	95	89	157	126
PLA2G12A	141	116	87	175	199
CFI	27	20	4	14	0
GAR1	140	182	114	228	160
RRH	0	0	0	1	0
LRIT3	0	0	0	0	2
EGF	3	1	0	2	0
ELOVL6	312	213	177	217	161
C4orf32	63	65	60	69	86
AP1AR	79	95	88	121	97
TIFA	54	46	32	68	48
ALPK1	38	24	22	22	29
NEUROG2	0	0	1	0	0
LOC101929654	0	0	0	0	1
C4orf21	37	26	19	10	35
LARP7	149	120	122	140	147
ANK2	5	5	2	11	2
LOC102723880	0	1	0	0	0
CAMK2D	88	101	94	106	153
ARSJ	49	35	77	49	31
UGT8	1	5	4	8	0
TRAM1L1	6	6	9	5	0
NDST3	3	0	0	0	1
SNHG8	271	182	162	378	295
PRSS12	89	54	56	94	71
RP11-384K6.6	14	5	6	9	4
METTL14	116	97	96	114	104
SEC24D	227	161	228	180	117
SYNPO2	1	1	2	0	1
USP53	106	86	110	59	169
C4orf3	617	475	430	810	679
FABP2	0	0	0	1	1
LINC01061	16	13	6	30	7
LOC101926918	2	0	0	0	0
LOC101926936	0	0	0	0	0
LOC645513	3	4	2	0	5
PDE5A	17	10	7	7	5
MAD2L1	274	275	288	477	311
PRDM5	7	8	16	14	12
NDNF	0	1	0	0	0
TNIP3	6	3	2	0	0
ANXA5	1063	1320	814	1517	1079
TMEM155	0	1	0	0	0
PP12613	1	0	0	0	0
EXOSC9	96	95	59	80	77
CCNA2	82	97	83	112	123
BBS7	76	78	69	80	55
KIAA1109	275	146	159	147	142
CETN4P	0	1	0	1	2
BBS12	11	9	10	7	9
FGF2	0	1	1	1	0
NUDT6	2	2	0	0	3
SPATA5	56	58	50	52	51
SPRY1	7	5	14	10	4
RP11-93I21.3	0	0	0	1	0
ANKRD50	178	114	126	109	81
FAT4	34	20	26	22	3
INTU	17	11	17	27	20
HSPA4L	96	53	119	128	102
PLK4	90	83	54	58	82
MFSD8	53	31	42	29	62
C4orf29	18	19	17	15	13
LARP1B	31	8	23	9	13
PGRMC2	212	190	133	186	249
RP11-420A23.1	4	0	0	1	1
LOC100507487	5	2	1	4	5
JADE1	28	15	25	34	26
SCLT1	41	41	48	44	20
C4orf33	29	35	31	22	47
PCDH10	0	1	1	1	0
PABPC4L	3	9	9	11	0
PCDH18	5	5	8	16	0
SLC7A11	64	54	26	31	12
CCRN4L	16	8	8	20	10
ELF2	84	87	50	60	67
MGARP	21	20	31	38	3
NDUFC1	476	305	274	290	417
NAA15	379	330	312	309	321
LOC101927451	8	4	1	5	4
RAB33B	29	26	31	43	28
SETD7	433	414	262	474	186
LOC101927490	1	0	0	0	0
MGST2	217	140	72	134	72
MAML3	3	1	1	3	1
SCOC	537	500	503	765	472
CLGN	1	0	0	3	0
ELMOD2	145	109	97	137	90
TBC1D9	86	92	109	150	53
RNF150	0	0	0	0	2
ZNF330	146	131	114	174	152
IL15	5	3	5	7	3
INPP4B	111	66	49	59	39
USP38	110	141	101	129	114
GAB1	37	31	37	33	88
SMARCA5	514	461	407	429	395
GUSBP5	4	3	0	0	0
FREM3	0	0	0	1	0
RP11-673E1.1	0	0	0	1	0
HHIP-AS1	3	3	0	2	0
HHIP	1	1	2	0	0
ANAPC10	88	85	108	147	108
ABCE1	625	652	498	638	503
OTUD4	180	130	112	125	101
LOC101927681	2	1	1	0	1
SMAD1	254	190	187	265	231
MMAA	21	16	17	18	34
ZNF827	48	24	8	32	28
LSM6	198	216	152	244	151
LOC345051	1	0	0	0	1
SLC10A7	52	51	28	35	23
POU4F2	0	0	0	0	1
TTC29	0	0	0	0	0
EDNRA	38	18	7	21	9
TMEM184C	61	42	43	35	57
PRMT9	20	10	21	13	14
ARHGAP10	71	38	34	44	46
NR3C2	3	1	4	3	7
DCLK2	2	0	1	1	0
LRBA	388	285	261	218	170
RPS3A	50	32	30	20	19
SH3D19	277	165	238	225	168
FAM160A1	101	72	59	87	98
PET112	22	17	15	9	23
LOC100505685	1	0	0	0	0
RP11-18H21.1	1	0	1	1	0
FBXW7	124	125	83	152	212
DKFZP434I0714	10	7	8	10	5
TMEM154	397	326	251	279	417
TIGD4	1	0	2	1	3
ARFIP1	200	187	178	283	194
LOC729870	2	0	2	0	1
FHDC1	40	12	50	45	22
TRIM2	41	32	29	52	56
MND1	19	22	27	48	78
KIAA0922	111	61	66	54	42
TLR2	8	12	4	11	0
PLRG1	179	139	156	102	162
FGA	0	0	0	0	1
LRAT	2	2	2	4	2
RBM46	0	0	0	2	1
MAP9	130	114	110	98	22
GUCY1A3	1	2	4	3	0
GUCY1B3	2	3	9	5	2
CTSO	43	25	22	23	9
PDGFC	163	145	152	135	106
GLRB	6	8	6	1	2
GRIA2	0	1	0	0	1
FAM198B	13	9	41	21	2
LOC101928007	0	0	0	0	1
LOC102724842	1	1	0	0	0
TMEM144	24	21	19	33	30
C4orf46	65	75	70	61	63
ETFDH	17	18	19	19	24
PPID	78	81	66	81	78
FNIP2	11	1	0	0	4
RAPGEF2	85	44	45	85	54
NAF1	18	13	10	10	12
NPY1R	0	1	0	0	1
NPY5R	0	0	1	0	0
TMA16	170	160	183	240	142
MARCH1	7	10	2	3	5
TMEM192	85	82	65	94	51
KLHL2	58	44	61	106	48
MSMO1	2744	1618	2566	2803	2377
CPE	7	8	20	19	18
LINC01179	0	1	2	0	0
TLL1	11	6	15	13	33
SPOCK3	1	0	1	0	0
ANXA10	0	0	1	1	0
DDX60	60	33	65	47	394
DDX60L	42	16	44	39	61
PALLD	10	2	3	5	4
CBR4	20	29	11	31	20
SH3RF1	183	146	128	173	98
NEK1	106	77	94	83	60
CLCN3	196	144	130	219	133
C4orf27	84	81	89	95	111
RP11-205M3.3	0	0	0	0	1
MFAP3L	4	5	9	10	13
AADAT	25	39	14	18	6
RP11-789C1.1	3	3	7	14	0
LOC101930370	3	0	1	1	1
GALNT7	185	172	184	162	103
HMGB2	305	323	520	618	658
SAP30	32	34	53	37	73
FBXO8	51	35	51	46	48
CEP44	10	9	16	16	18
HPGD	0	0	0	0	4
GPM6A	0	1	0	0	0
WDR17	2	9	6	6	0
SPATA4	0	0	0	0	2
ASB5	0	1	0	0	0
SPCS3	640	587	330	520	306
VEGFC	195	133	102	112	37
NEIL3	40	50	57	71	32
AGA	89	39	87	112	79
MGC45800	21	14	16	15	5
TENM3	92	129	76	98	41
DCTD	400	355	224	511	301
FAM92A1P2	0	0	1	0	0
WWC2-AS2	0	1	5	1	4
WWC2	143	90	76	105	77
CDKN2AIP	51	40	55	56	52
RP11-367N14.2	5	2	1	0	0
ING2	85	77	76	82	105
RWDD4	180	215	197	323	234
TRAPPC11	120	65	86	79	94
STOX2	29	16	23	42	9
LOC391722	0	1	1	3	0
RP11-290F5.2	0	0	0	1	0
IRF2	92	74	84	176	60
LOC102723779	4	3	0	0	1
CASP3	175	116	111	116	151
PRIMPOL	17	15	18	5	10
CENPU	194	134	84	93	160
ACSL1	46	34	56	63	499
SLC25A4	33	25	25	40	37
KIAA1430	317	296	256	271	287
SNX25	18	18	19	26	22
LRP2BP	5	2	2	4	2
ANKRD37	1	5	1	3	3
UFSP2	54	36	23	44	39
C4orf47	0	2	2	4	3
CCDC110	1	0	1	1	1
PDLIM3	1	1	1	1	0
SORBS2	4	4	2	1	0
TLR3	14	9	6	8	5
FAM149A	1	1	2	0	0
CYP4V2	17	33	16	13	2
F11-AS1	1	0	0	0	0
FAT1	2492	1800	1661	2119	780
ZFP42	11	22	11	27	2
TRIML2	2	2	0	0	2
LOC102723950	0	0	0	1	0
FRG1	90	63	84	112	119
LOC102723981	0	0	0	0	0
CCDC127	42	56	36	46	46
SDHA	61	42	22	42	63
PDCD6	2	8	3	5	9
AHRR	2	0	0	0	1
C5orf55	7	3	3	2	4
EXOC3	45	24	13	17	33
PP7080	43	31	15	29	35
RP11-310P5.1	0	0	0	0	0
CEP72	0	1	0	1	1
TPPP	3	0	0	1	4
LOC101928768	0	0	0	6	3
ZDHHC11	0	0	1	0	4
BRD9	68	43	22	42	39
TRIP13	166	208	208	243	143
SLC12A7	43	11	28	32	26
CLPTM1L	368	244	168	254	303
LPCAT1	41	16	18	39	31
SDHAP3	3	2	1	1	1
LOC728613	2	5	1	0	1
MRPL36	178	136	66	127	122
NDUFS6	288	126	131	137	166
IRX4	0	0	0	0	243
IRX2	100	64	57	70	277
C5orf38	0	1	0	0	1
IRX1	1	0	0	0	9
ADAMTS16	0	0	0	0	0
LOC101929200	2	0	0	0	0
KIAA0947	181	121	110	107	112
MED10	205	192	155	231	140
NSUN2	281	312	207	316	159
SRD5A1	96	124	91	191	205
LOC100505625	0	0	1	0	0
PAPD7	4	0	0	0	2
LOC102724943	2	0	0	0	0
ADCY2	0	0	0	0	2
C5orf49	0	0	0	1	0
FASTKD3	36	15	19	16	24
MTRR	107	110	80	122	92
MIR4458HG	11	12	24	22	14
SEMA5A	18	27	11	5	26
SNHG18	7	9	13	13	12
FAM173B	47	46	38	55	28
CCT5	1079	869	1134	1023	1078
CMBL	16	12	21	26	11
MARCH6	388	330	277	353	281
ANKRD33B	62	52	34	37	32
DAP	256	132	130	174	85
LOC102723459	1	0	0	0	0
DNAH5	16	8	18	12	0
TRIO	373	235	242	388	178
FAM105A	10	11	6	9	7
FAM105B	107	78	45	81	93
ANKH	82	61	52	68	30
FBXL7	37	30	22	38	2
ZNF622	60	32	57	37	59
FAM134B	5	3	7	4	59
MYO10	636	397	350	352	255
BASP1	1204	855	500	973	550
LOC401177	0	0	0	0	0
CDH18	0	0	1	0	0
GUSBP1	4	8	4	3	3
LINC01021	1	0	0	0	0
LSP1P3	0	1	0	1	0
LOC101929645	0	0	0	1	0
CDH6	3	0	1	1	0
DROSHA	103	79	56	115	91
C5orf22	96	90	85	79	105
PDZD2	15	11	21	22	51
GOLPH3	168	177	105	189	152
MTMR12	110	104	69	115	85
ZFR	281	261	234	229	220
SUB1	933	1024	1025	1424	1284
NPR3	0	3	0	5	0
TARS	526	461	532	578	430
ADAMTS12	0	1	0	0	0
SLC45A2	1	0	0	0	1
C1QTNF3-AMACR	0	0	0	0	1
AMACR	0	1	0	0	0
LOC646652	11	10	10	5	4
RAI14	850	473	570	756	105
LOC101929704	2	1	0	0	1
RAD1	78	60	50	67	82
BRIX1	194	158	142	156	210
DNAJC21	268	276	238	303	278
SPEF2	8	1	3	4	0
IL7R	22	8	3	2	1
UGT3A2	0	0	0	1	1
LMBRD2	42	38	21	37	26
SKP2	68	35	83	61	99
NADK2	81	53	70	101	67
RANBP3L	1	0	0	0	0
SLC1A3	15	11	11	17	21
LOC646719	14	5	8	13	11
NIPBL	318	189	207	188	223
C5orf42	112	69	54	39	32
NUP155	140	87	107	114	68
WDR70	38	36	30	35	41
GDNF	10	3	0	0	2
EGFLAM	0	1	0	3	4
LIFR	9	5	10	11	14
OSMR	258	182	154	192	116
RICTOR	197	136	179	150	123
FYB	3	3	5	3	0
C9	6	2	2	2	0
DAB2	56	46	42	45	3
PTGER4	1	1	0	0	0
TTC33	48	47	48	52	61
PRKAA1	180	168	164	192	127
LOC100506548	120	82	63	124	102
RPL37	1196	861	920	828	1055
CARD6	42	23	21	20	7
MROH2B	0	0	1	0	0
OXCT1	124	134	136	181	136
C5orf51	92	91	65	176	108
FBXO4	16	30	16	18	33
GHR	18	7	8	11	6
CCDC152	12	5	7	10	5
SEPP1	4	4	5	3	6
FLJ32255	2	1	1	3	0
LOC648987	2	1	3	2	0
LOC100506639	0	1	1	2	1
ZNF131	150	134	85	123	107
HMGCS1	4008	3353	2602	4160	1801
CCL28	1	2	0	0	1
C5orf28	71	83	76	130	61
C5orf34	17	12	18	16	18
PAIP1	230	207	205	236	242
NNT-AS1	25	13	28	45	31
NNT	101	65	66	95	101
RP11-53O19.1	0	1	1	0	1
MRPS30	104	87	89	117	106
HCN1	1	0	0	0	0
EMB	374	388	354	471	250
PARP8	57	48	40	37	18
LOC642366	0	0	0	0	4
ISL1	0	0	0	0	12
ITGA1	15	11	8	5	7
ITGA2	987	480	692	546	661
MOCS2	131	89	78	118	93
LOC257396	5	3	1	2	1
FST	3134	2763	2452	1998	1058
NDUFS4	145	115	124	106	128
ARL15	26	17	11	20	11
HSPB3	0	0	1	0	4
SNX18	131	145	91	198	58
GPX8	7	3	0	1	0
CCNO	5	3	5	9	13
DHX29	272	204	180	186	201
SKIV2L2	108	116	69	87	62
PPAP2A	12	13	9	12	7
SLC38A9	63	46	29	37	36
IL31RA	9	6	7	7	3
IL6ST	553	370	321	324	165
FLJ31104	0	1	1	1	0
MAP3K1	94	70	110	104	132
SETD9	12	6	2	5	5
MIER3	14	6	2	5	4
GPBP1	227	205	188	216	238
ACTBL2	0	1	0	2	0
LOC101928505	1	0	0	1	0
RP11-478P10.1	1	0	0	1	0
PLK2	892	476	663	911	331
LOC101928600	0	0	0	1	0
PDE4D	27	20	17	18	8
PART1	1	1	0	0	5
DEPDC1B	58	60	83	103	171
ELOVL7	19	26	47	43	85
ERCC8	37	32	23	39	29
NDUFAF2	78	43	55	46	73
SMIM15	240	253	232	245	235
CTC-436P18.1	0	0	0	1	0
ZSWIM6	158	194	90	147	55
KIF2A	254	190	148	180	138
DIMT1	260	225	201	295	276
IPO11	21	20	14	11	7
IPO11-LRRC70	0	0	1	0	0
RNF180	18	9	11	14	32
FAM159B	0	0	1	0	0
SREK1IP1	216	203	182	254	199
CWC27	165	125	135	176	155
ADAMTS6	249	183	57	122	20
CENPK	120	168	119	150	106
PPWD1	33	27	35	39	55
TRIM23	25	30	28	38	49
TRAPPC13	62	54	47	64	63
SGTB	52	55	57	49	32
NLN	283	275	211	381	126
ERBB2IP	324	254	334	261	263
SREK1	176	132	171	173	148
MAST4	679	488	571	777	474
CD180	0	0	1	0	0
PIK3R1	245	204	105	188	203
RP11-141O11.2	0	0	0	1	0
SLC30A5	107	68	76	79	90
CCNB1	282	270	296	469	492
CENPH	124	141	97	193	156
MRPS36	87	61	66	71	107
CDK7	84	105	96	117	137
CCDC125	15	10	9	8	9
AK6	85	86	92	112	118
RAD17	78	75	89	90	87
MARVELD2	36	24	17	24	27
OCLN	15	28	24	32	74
SMN2	5	11	6	9	6
SMA4	9	9	5	13	4
GTF2H2B	40	37	40	48	31
LOC102724275	3	0	3	0	1
SMN1	12	17	4	8	13
NAIP	6	10	10	14	8
GTF2H2	0	0	0	0	1
BDP1	370	232	213	181	199
MCCC2	283	306	227	504	201
MAP1B	72	92	89	140	23
MRPS27	183	136	126	168	157
PTCD2	25	18	14	22	20
TNPO1	358	345	285	340	274
FCHO2	96	71	75	61	51
TMEM171	11	10	2	9	18
FOXD1	227	152	65	116	23
BTF3	1217	951	1202	1252	1692
ANKRA2	63	65	71	109	53
UTP15	87	94	56	101	84
ARHGEF28	322	204	133	134	76
ENC1	146	75	149	214	62
HEXB	173	190	110	215	261
GFM2	91	52	76	86	48
NSA2	129	95	138	97	176
FAM169A	129	156	135	215	123
GCNT4	1	0	2	0	2
ANKRD31	1	0	1	0	1
HMGCR	1514	1037	1151	1444	1068
COL4A3BP	61	33	43	54	33
POLK	142	110	118	165	88
ANKDD1B	0	2	0	2	1
POC5	38	28	35	32	30
IQGAP2	0	0	0	0	0
F2R	99	95	113	92	80
F2RL1	117	159	123	126	406
AGGF1	163	122	136	145	166
ZBED3	2	3	0	0	0
ZBED3-AS1	0	0	0	0	0
WDR41	122	146	105	204	85
TBCA	159	161	134	187	166
AP3B1	470	330	258	407	261
LOC728769	8	5	3	8	8
SCAMP1	155	147	144	191	188
LHFPL2	21	24	9	17	88
ARSB	27	17	23	45	16
BHMT2	0	1	0	0	0
BHMT	0	0	0	0	1
JMY	3	10	4	7	3
LOC101929201	0	3	0	3	0
HOMER1	53	40	42	47	75
PAPD4	98	66	109	92	76
CMYA5	0	0	4	0	0
MTX3	261	242	131	238	127
THBS4	2	2	0	0	0
CTD-2201I18.1	1	0	0	0	0
SERINC5	42	34	9	19	12
LOC644936	2	2	4	13	4
CRSP8P	1	1	1	1	0
ZFYVE16	119	113	111	83	91
FAM151B	3	1	0	0	3
ANKRD34B	0	0	1	0	1
DHFR	16	8	3	1	4
MSH3	144	105	82	121	95
RASGRF2	1	1	4	3	6
CKMT2-AS1	0	0	0	0	1
ZCCHC9	99	93	85	103	111
ACOT12	0	1	0	0	0
SSBP2	37	24	44	45	109
ATG10	36	16	17	15	36
RPS23	3857	3366	2119	3771	3597
ATP6AP1L	6	1	3	4	2
FLJ41309	0	0	2	0	1
TMEM167A	517	481	346	606	355
XRCC4	56	56	52	79	60
VCAN	29	38	26	24	1
EDIL3	1	0	5	3	1
COX7C	770	480	524	574	664
RASA1	56	52	42	24	32
CCNH	36	37	36	61	35
TMEM161B	33	18	12	10	10
TMEM161B-AS1	3	2	3	2	3
MEF2C	2	4	0	4	2
CETN3	86	74	155	162	118
LOC731157	0	1	0	0	0
MBLAC2	34	23	33	34	25
POLR3G	102	111	118	139	82
LYSMD3	121	81	114	96	111
GPR98	0	0	0	1	2
LOC729040	0	1	0	0	0
LUCAT1	0	0	1	0	0
ARRDC3	89	115	177	217	206
ARRDC3-AS1	1	0	1	2	0
NR2F1-AS1	0	1	0	2	0
FAM172A	46	39	52	54	31
KIAA0825	12	5	8	6	8
ANKRD32	47	42	44	55	40
LOC101929687	1	0	1	0	0
MCTP1	3	1	3	1	0
FAM81B	0	0	0	0	0
TTC37	246	201	249	189	187
ARSK	38	38	34	55	48
RFESD	1	1	0	1	0
SPATA9	1	1	0	0	0
RHOBTB3	13	13	35	53	27
GLRX	20	6	19	16	15
ELL2	709	576	556	890	668
PCSK1	0	0	2	0	0
CAST	261	191	99	164	142
ERAP1	46	29	20	24	14
ERAP2	388	89	186	203	188
LOC101929747	4	1	2	0	7
LNPEP	168	106	61	48	57
LIX1	0	1	0	0	0
RIOK2	78	66	66	55	73
LOC102546227	0	0	1	0	0
RGMB	152	92	51	106	58
CHD1	263	234	170	165	145
LOC100289230	5	1	1	2	1
LOC102724870	10	9	3	17	2
FAM174A	104	122	95	194	127
ST8SIA4	4	4	3	1	0
SLCO4C1	0	1	0	0	2
PAM	200	127	199	292	184
GIN1	22	13	25	34	29
PPIP5K2	124	78	97	94	103
C5orf30	38	49	40	66	33
NUDT12	26	19	43	53	47
EFNA5	142	110	65	117	99
FBXL17	74	57	66	61	56
LINC01023	1	0	0	0	3
FER	61	42	24	21	27
LOC285638	6	3	5	3	3
PJA2	353	303	318	377	236
MAN2A1	709	449	514	485	467
TMEM232	1	0	0	0	1
SLC25A46	194	227	184	241	218
TSLP	2	0	10	3	9
WDR36	297	265	221	262	231
CAMK4	7	3	3	5	0
STARD4	410	286	392	457	307
STARD4-AS1	0	2	0	0	1
NREP	0	0	0	0	3
EPB41L4A	22	17	11	9	2
EPB41L4A-AS1	10	12	8	15	13
EPB41L4A-AS2	1	0	0	1	1
APC	212	182	133	142	122
SRP19	28	23	6	18	5
REEP5	80	43	16	46	34
DCP2	79	73	66	87	84
MCC	326	236	292	370	214
YTHDC2	146	139	155	203	119
TRIM36	3	1	5	7	2
LOC102723365	1	2	0	3	1
PGGT1B	87	100	88	108	80
CCDC112	27	23	35	34	31
FEM1C	114	107	83	81	77
TMED7-TICAM2	0	0	0	0	0
ATG12	195	153	130	134	169
AP3S1	543	446	399	662	545
AQPEP	1	0	1	0	2
COMMD10	79	98	82	112	105
LOC102723405	11	9	3	6	7
LOC101927190	4	1	1	0	1
LOC101927212	0	0	0	0	0
SEMA6A	12	1	3	8	5
LINC00992	1	2	0	0	1
DTWD2	12	22	18	20	14
DMXL1	91	57	60	75	43
TNFAIP8	82	79	108	132	185
HSD17B4	215	198	264	239	258
PRR16	2	0	5	4	0
SRFBP1	102	78	54	85	53
LOX	8	14	14	9	7
ZNF474	0	0	0	0	0
LOC101927357	0	2	0	0	0
RP11-166A12.1	0	0	0	1	0
SNX2	135	109	140	159	189
SNX24	8	6	7	5	8
PPIC	178	159	140	240	209
PRDM6	1	0	0	0	1
CEP120	46	39	73	54	23
CSNK1G3	131	152	150	138	98
ZNF608	34	42	40	67	10
GRAMD3	99	100	63	137	144
ALDH7A1	186	116	196	258	254
PHAX	177	169	137	166	143
LOC102723557	0	0	1	0	0
LMNB1	25	29	23	29	27
MARCH3	1	2	3	2	2
C5orf63	28	15	24	14	9
MEGF10	0	1	0	0	0
PRRC1	192	159	140	176	108
LINC01183	2	1	0	0	0
LOC101929964	6	3	0	4	0
LINC01184	62	40	38	38	46
SLC12A2	235	216	193	231	85
FBN2	624	241	234	227	0
SLC27A6	8	3	0	1	2
ISOC1	105	114	109	179	192
ADAMTS19	0	0	0	0	0
CHSY3	1	2	2	1	1
HINT1	2384	1772	1268	2089	1967
LYRM7	88	117	104	152	97
CDC42SE2	195	159	165	212	173
RAPGEF6	106	93	139	100	142
FNIP1	138	113	73	70	138
ACSL6	0	1	0	0	0
CSF2	2	1	1	2	0
P4HA2-AS1	18	10	7	19	10
P4HA2	147	84	59	135	75
LOC101927705	0	2	0	1	0
PDLIM4	1	1	0	0	1
SLC22A4	1	1	0	0	0
LOC553103	0	0	0	0	1
SLC22A5	43	63	19	48	56
C5orf56	9	4	16	12	3
IRF1	36	13	13	38	7
IL5	1	0	0	0	1
RAD50	257	259	287	225	268
LOC101927783	1	2	2	1	1
KIF3A	21	14	10	11	13
CCNI2	0	1	0	0	0
SEPT8	10	0	3	0	1
SOWAHA	0	0	0	0	0
SHROOM1	2	4	5	6	2
GDF9	0	1	1	0	2
UQCRQ	758	766	498	1011	816
LEAP2	2	1	2	0	3
AFF4	551	463	383	481	343
ZCCHC10	109	104	83	156	104
HSPA4	344	287	267	347	295
FSTL4	0	1	0	1	33
C5orf15	212	175	168	241	154
VDAC1	1074	1013	1066	1577	933
TCF7	16	8	2	11	4
SKP1	947	702	812	1059	1147
PPP2CA	699	678	505	711	472
CDKL3	2	1	4	3	4
UBE2B	406	437	341	639	529
CDKN2AIPNL	34	19	18	31	21
LOC101927934	0	0	0	0	0
JADE2	70	55	15	71	28
SAR1B	204	194	145	169	157
SEC24A	97	93	98	114	70
CAMLG	219	157	117	232	257
DDX46	449	317	246	335	230
C5orf24	161	177	171	254	142
TXNDC15	71	69	38	70	41
PCBD2	17	13	6	12	16
CATSPER3	1	0	1	1	1
PITX1	11	9	51	101	20
C5orf66	3	2	0	1	2
H2AFY	36	25	5	16	7
CXCL14	10	1	11	60	2471
TGFBI	550	356	220	363	309
VTRNA2-1	0	2	2	1	0
SMAD5	684	421	540	622	419
SPOCK1	41	10	10	9	44
KLHL3	12	4	2	14	14
HNRNPA0	304	298	322	355	252
NPY6R	0	0	0	0	0
MYOT	2	2	0	1	1
PKD2L2	3	0	0	1	0
FAM13B	30	9	11	9	8
NME5	7	7	8	8	3
BRD8	33	27	13	23	22
KIF20A	152	130	186	286	226
CDC23	100	110	61	104	82
CDC25C	24	11	25	31	23
FAM53C	142	75	60	89	102
KDM3B	110	75	131	136	127
REEP2	0	0	1	4	0
EGR1	358	638	1314	2534	846
ETF1	516	462	357	460	446
HSPA9	698	596	513	694	507
CTNNA1	713	528	552	588	728
SIL1	20	11	9	16	8
MATR3	792	785	792	818	684
PAIP2	43	29	19	28	16
MZB1	0	0	1	0	0
SPATA24	8	3	3	8	2
DNAJC18	21	21	23	34	9
TMEM173	96	61	34	78	22
UBE2D2	704	732	462	943	527
CXXC5	10	5	10	13	8
NRG2	2	0	0	0	0
LINC01024	1	2	0	1	5
PURA	218	197	200	195	206
IGIP	19	15	12	13	22
LOC101929719	3	0	0	1	0
CYSTM1	321	319	147	365	113
PFDN1	228	186	60	174	85
HBEGF	251	144	143	222	54
SLC4A9	0	0	0	1	1
ANKHD1	0	5	4	1	1
SRA1	87	58	28	76	49
APBB3	19	9	5	15	10
SLC35A4	73	53	19	34	44
CD14	1	0	1	0	0
TMCO6	21	12	7	40	18
NDUFA2	182	102	68	165	170
IK	187	138	160	139	239
WDR55	7	1	2	4	3
HARS	89	60	44	86	69
HARS2	91	60	45	90	84
ZMAT2	284	243	119	271	214
VTRNA1-1	0	0	0	1	0
VTRNA1-3	1	1	2	1	0
PCDHAC2	0	1	0	1	0
PCDHB2	1	0	0	0	0
PCDHB3	0	0	0	0	0
PCDHB4	0	0	0	0	0
PCDHB5	1	0	1	0	1
PCDHB16	0	0	0	1	0
PCDHB10	0	2	0	0	0
PCDHB11	0	1	0	0	0
PCDHB13	1	0	0	1	0
PCDHB14	0	2	0	3	1
PCDHB19P	0	0	0	1	1
TAF7	243	300	233	350	186
LOC101926922	0	0	0	1	0
DIAPH1	843	512	263	527	325
LOC102723915	0	0	0	0	0
HDAC3	2	2	1	0	0
